Year,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile
1870,0.242997839,0.88771621,1.541775216,2.181898517,2.807553466
1871,0.299577276,0.950651307,1.604414069,2.238892375,2.877334429
1872,0.451101567,1.116863175,1.809354705,2.47616194,3.134460046
1873,0.379859477,1.157993984,1.979750304,2.77240199,3.524013701
1874,0.393394421,1.231768354,2.131145364,3.005775739,3.871060042
1875,0.634213829,1.428188252,2.266108346,3.105663533,3.983136283
1876,0.565436764,1.420695535,2.325765099,3.25633734,4.229390504
1877,0.585220024,1.448849177,2.3640486,3.267957642,4.203299655
1878,0.715490636,1.523767014,2.387528132,3.235064165,4.097438523
1879,0.694055867,1.509545039,2.380817956,3.235108346,4.109625961
1880,0.572657469,1.34685233,2.162400094,2.971369235,3.787477931
1881,0.706446596,1.43687935,2.197335931,2.952891749,3.719514394
1882,0.681216698,1.395992405,2.109541021,2.820369003,3.532004159
1883,0.622553197,1.32923254,2.033355063,2.735655634,3.413224935
1884,0.672788122,1.381381551,2.105459005,2.82142761,3.506624737
1885,0.64103615,1.331193414,2.032145586,2.73780851,3.415931505
1886,0.60775069,1.312826017,2.016371101,2.723080684,3.393036406
1887,0.628392022,1.33746074,2.042272025,2.743082429,3.409519181
1888,0.451834534,1.138228029,1.834859103,2.532763499,3.206352955
1889,0.550944158,1.241024369,1.938586527,2.636097699,3.308299751
1890,0.533228851,1.204785059,1.880296122,2.562540243,3.215387473
1891,0.412699617,1.096173648,1.792231952,2.47314108,3.136815221
1892,-0.106427019,0.612729296,1.356220224,2.076241435,2.80233676
1893,-0.356725521,0.431788387,1.220398111,1.966767282,2.705463443
1894,-0.396140729,0.433536727,1.258373105,2.045949058,2.801541106
1895,-0.438225782,0.335107533,1.114747372,1.873631683,2.610450809
1896,-0.378990305,0.394985644,1.175008649,1.92599005,2.632272652
1897,-0.617972582,0.189157759,0.987197669,1.754270587,2.48755553
1898,-0.55888208,0.248756966,1.059191914,1.821974065,2.54404397
1899,-0.477587818,0.272512549,1.021383828,1.740776366,2.431965453
1900,-0.357510934,0.384339681,1.125116338,1.839279446,2.521282219
1901,-0.294324493,0.437545655,1.164249341,1.864018446,2.536470219
