Year,us,us,us,us,us,de,de,de,de,de,uk,uk,uk,uk,uk,fr,fr,fr,fr,fr,ca,ca,ca,ca,ca,it,it,it,it,it,jp,jp,jp,jp,jp,au,au,au,au,au,be,be,be,be,be,fi,fi,fi,fi,fi,ie,ie,ie,ie,ie,nl,nl,nl,nl,nl,no,no,no,no,no,ch,ch,ch,ch,ch,se,se,se,se,se,es,es,es,es,es,pt,pt,pt,pt,pt,dk,dk,dk,dk,dk
,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile
1870,-0.0392125623087034,0.733589497102386,1.5240272939506,2.31006192730225,3.07162513372336,-0.555355061968404,0.207838807033904,0.983749265518982,1.75269784964712,2.50012814360132,-1.2688935219763,-0.52177008178608,0.259122334401938,1.03746290915536,1.79599768663659,-0.807904043088083,-0.0124587376604439,0.805204199295286,1.63000646063357,2.44802108918906,-0.553232720670342,0.198150016855179,0.971311046242579,1.73713041693169,2.48123551173651,-0.134339568160853,0.649900571017605,1.46656426185106,2.30047745331292,3.11339117698113,0.256786333698962,1.04508168841488,1.86855244988376,2.69218883554875,3.49381337483408,-0.385783189550293,0.367190100561226,1.15586221188545,1.96076276866368,2.74087021845472,-0.531514808317712,0.200417988460836,0.983001306026104,1.75608329229031,2.51377475674655,-0.657170476467996,0.124787427159776,0.927766093479026,1.75390905725015,2.54163571625413,-0.698512312848233,0.106626957025217,0.928628497737647,1.76351649147904,2.5803613347907,-0.615283019349066,0.125645928650056,0.88458852791303,1.64725201054402,2.4172843117801,-0.158177946123132,0.562333442118869,1.31326427414809,2.06945544851604,2.78944310885447,-0.453699197564469,0.27191341602896,1.03811505948016,1.79858795621516,2.53296916960657,-0.737390480576284,0.0156829449867353,0.803072895810522,1.59107185225822,2.35371395326962,-0.306808738987663,0.481821790638,1.29453173074869,2.11615484564774,2.92429621948766,-0.120292024494208,0.711352566552042,1.57634725082778,2.42709602478242,3.26133635269198,-0.382584903444739,0.47285779163553,1.33485519148774,2.18072840340997,3.03087794763871
1871,0.1745556551048,0.950191436170359,1.74520341313396,2.55279582814053,3.33126273964744,-0.635466762424614,0.132178263820036,0.914980280525956,1.68197867326412,2.43892068003929,-1.2265671635674,-0.468662929684424,0.318555551373471,1.10000762357904,1.88698545367747,-0.808523095421906,-0.00657155797191684,0.827882050315783,1.67120116076183,2.50474819436932,-0.572601023073967,0.182601467427762,0.964509004887664,1.73743914698083,2.48183308797432,-0.147639461800968,0.645354707913286,1.47447770895228,2.31186002027223,3.12005046013126,0.439945267808577,1.24156077624846,2.0825386248867,2.92902342013679,3.73626194886137,-0.418429053134534,0.344148691393287,1.12752236017796,1.93299450701256,2.6978432807368,-0.40073010538029,0.348950823187045,1.14066584078838,1.93093990668372,2.68276212952739,-0.68763690216837,0.0789446307166324,0.893046498449453,1.72283030277059,2.5141066412485,-0.817666272431827,0.00123784611922961,0.840223514157786,1.69437606616431,2.53717036886534,-0.597653288433234,0.140657911154721,0.911884504364524,1.68335128654493,2.43382444378615,-0.233163298290769,0.500022127358312,1.25954613713493,2.01276175852091,2.73835488464443,-0.47738215798268,0.251365438743447,1.01737185761345,1.77571998127597,2.51153728589119,-0.829074903332076,-0.0691942545630314,0.71856393973067,1.5022922360172,2.25906012104861,-0.291546860090829,0.522962939753617,1.35205106834588,2.17935429758128,3.00031064965744,-0.187935416108489,0.641810811892789,1.51723798038334,2.38991952717196,3.25288878030711,-0.299952183918,0.562827591851217,1.44533152722127,2.32282161874578,3.19767616645934
1872,0.669738773439011,1.47759555871549,2.32551113660302,3.1875299170297,4.03317186778665,-0.400187595726437,0.382154585076215,1.21457671766954,2.01936093795752,2.80223721555063,-0.78750362570583,0.012550257677723,0.848966290047706,1.69541125285039,2.55740961722979,-0.683060449719181,0.145707844520299,1.03148018537578,1.91365264965515,2.78643863545782,-0.307927535375462,0.494867215797222,1.3116567472408,2.1242317539156,2.90639236425385,-0.0711379184692573,0.775639878210133,1.63746386222072,2.50287984232157,3.32967680488518,0.873663056336286,1.72834731685506,2.63595140569473,3.54707933171317,4.41446460940081,-0.263735814764754,0.538829111234124,1.36971757306431,2.19315460732573,2.98330953521206,-0.158695017362783,0.649135509136668,1.49843253647056,2.34748688092726,3.157295043759,-0.585483425383997,0.239594358473071,1.09204421738678,1.96232330682787,2.79528022044635,-0.808062204488627,0.0587192960950672,0.964487813081915,1.87008191646603,2.747578847989,-0.181460367564592,0.614264141200693,1.41238458990599,2.20751607324353,2.98589762323463,-0.026198514295916,0.729546716435438,1.53319679667316,2.3268469116044,3.09104590132169,-0.225375775563241,0.552121398783919,1.35443904772448,2.1522576320729,2.94116615160596,-0.729288323478194,0.0619026867111532,0.89179519034231,1.69917596059719,2.47938856884978,-0.0563470889207649,0.792360624361133,1.67543783737892,2.55169133618711,3.40485449484242,-0.228332236141976,0.665310247208776,1.59743703348195,2.51995325577405,3.43429360019269,0.115939396975202,1.048320404578,1.99808849048705,2.94204705915905,3.90833838516797
1873,0.794438064187841,1.68682075968214,2.63043496161005,3.58998142339982,4.56992032097314,-0.737162971169666,0.160362400857358,1.08431662082622,1.9901279764927,2.88050291044343,-1.13499910785219,-0.208386384349351,0.750076799284908,1.74773073293274,2.76921339793727,-1.01105961533741,-0.0661180240761741,0.933236694826448,1.93634312717714,2.89876613621366,-0.609088557723639,0.30009501330915,1.22272536503959,2.13449765536688,3.01683053822387,-0.223924994646676,0.72832326547487,1.71604239948373,2.69894837116781,3.63875528768105,0.546099753544504,1.53558999429464,2.55637240226972,3.6211400868314,4.66353421713537,-0.651191899822715,0.311564592656744,1.26898709310924,2.19057499821877,3.05139465955894,-0.287267435745742,0.639205468648203,1.61390093863316,2.5819141106204,3.52471762517745,-1.09350803527322,-0.13912201811314,0.833319740926034,1.80788045814451,2.71833124581678,-1.36593753357163,-0.351489787359466,0.700906949966059,1.73061247778353,2.7251084516132,-0.309869456422467,0.585863757621754,1.46282254750126,2.34683042057908,3.25161421971311,-0.139325081298708,0.721440513570888,1.59980134511765,2.48596267448716,3.35449756347943,-0.638872255832537,0.216747429976615,1.11259661994387,2.00409987217345,2.89082290776924,-1.09734211937355,-0.225923414381614,0.69508867416473,1.60751027778461,2.48546400571908,0.0665710337356271,1.05555056117129,2.06565942210838,3.07775287548154,4.07735803358304,-0.887383100936335,0.170076126266761,1.24690269872857,2.31910329890645,3.36846192906033,0.0463511319678781,1.11790043846617,2.20745576816847,3.2907592059147,4.39664104994726
1874,0.556489562421736,1.51295504507731,2.51959132543472,3.5361347572914,4.5525424756369,-0.885413753303326,0.0586831182897863,1.01839687283147,1.96264240965216,2.86865521738745,-1.20564402312771,-0.226329454774933,0.802253789055881,1.88045138723872,2.94926411950558,-1.30808227549851,-0.315009656773159,0.726855929113243,1.78540364227544,2.82267248741052,-0.752308087055438,0.20594250225047,1.17378420095877,2.11338362310578,3.03321235841877,-0.346519716151509,0.652393528880491,1.67773664231016,2.72259321049774,3.7497480712624,0.460464035352258,1.48413320865073,2.57703518741058,3.68566547771551,4.74766062773304,-0.673722580994909,0.328462306495885,1.33113339504407,2.30498560000681,3.22867598880716,-0.415565388474114,0.580370315667121,1.61619424280235,2.6490276272175,3.64706793607264,-1.17428639855314,-0.145893038887514,0.872787500284367,1.88491920068495,2.84939443382563,-1.59640946972016,-0.52855437536467,0.562649731663605,1.65336901281142,2.70091775238396,-0.440538746229215,0.500280146873659,1.41628855567637,2.35664801801682,3.33752249718433,-0.274018596233718,0.610748628835488,1.53389365509877,2.47673831187941,3.39521815828781,-0.729783852454434,0.14739422805457,1.08298180209168,2.0236074711906,2.96380039376264,-1.10663743493393,-0.180614902328124,0.757205692299909,1.71910200397655,2.65278334990547,0.0534481643404723,1.09810602154803,2.1689462166815,3.25190477982113,4.34448591184612,-1.0690809088543,0.0422523606095178,1.19487010588465,2.33485630087336,3.43401503381098,-0.100156490206071,1.02346021240887,2.16510184876063,3.30954640904101,4.47551494331556
1875,0.682403549669036,1.64965110511635,2.68813420983949,3.70432358357837,4.72384579028029,-0.702122249472063,0.267399951593656,1.23601711857924,2.16689242211219,3.07263886679366,-0.970302252035327,0.00263274773648003,1.01542310017666,2.07362375513956,3.14493715098377,-1.27472135610129,-0.262147672876775,0.789592885174999,1.86037818088995,2.87984649948571,-0.523513895966748,0.399077496925725,1.35356122635352,2.29941532833557,3.22441863673193,-0.228052385404822,0.75790275254869,1.78812081047189,2.83576270266199,3.82885224570822,0.863429732943274,1.87875743195308,2.97404637979203,4.0615638770894,5.14280592378524,-0.437553435063523,0.558612721456603,1.55671903193686,2.52851998341896,3.43994329911355,-0.28741459613886,0.698225927971225,1.73323680849405,2.77412862514326,3.76650602430482,-0.861660812477907,0.166455921847665,1.19427937507298,2.20351848071641,3.15513071449151,-1.36068191592817,-0.333997567658779,0.753347594856178,1.8359779238578,2.90898192863204,-0.219192799321272,0.736111583606319,1.66066087822599,2.60240758684962,3.54572718115236,-0.0511298721638843,0.843279211691601,1.76642033152098,2.70398668401442,3.59768992441531,-0.45248923486467,0.416923163308651,1.33992120023277,2.26326013432042,3.22455276032523,-0.953227536704302,-0.0333856792961995,0.906166665168311,1.86250433698489,2.78639225657505,0.107698657804744,1.14102740226139,2.20838320495507,3.28517064968734,4.35655448975667,-0.858831707954557,0.253927298580915,1.39086255450906,2.50762371880752,3.60403790943536,0.172933260686855,1.2929964302862,2.44175982480235,3.5689485013317,4.68705396267186
1876,0.747063533174768,1.7555932205873,2.81180717355872,3.9118629298208,5.02897468134915,-0.796444065406241,0.256229175188249,1.28678681434704,2.294734863748,3.27628330283133,-1.26827413336839,-0.211958616494931,0.885316488706775,2.01848352924801,3.15424556620815,-1.51131675656284,-0.416192240274604,0.712679497867537,1.87095417982959,2.99529318867452,-0.739482792001594,0.275089769582322,1.31664233263153,2.33215138675533,3.32082283880095,-0.353293126689965,0.733962643848193,1.84517232934207,2.97604921429811,4.04890687427297,0.633657937505895,1.75633631458286,2.9391306589516,4.13572226791575,5.26784351160527,-0.553627097820932,0.517508826152315,1.60153251212493,2.65223161940476,3.63831292843734,-0.423756590166509,0.650943278111109,1.77851193817861,2.88077488584989,3.91509169261614,-1.10642595477509,0.0189561158956155,1.13121244262812,2.21767469384366,3.25335780463957,-1.69389138632345,-0.536107941410391,0.648275965656393,1.81240223961834,2.96537744917437,-0.202779240778586,0.782456941562613,1.75994905402102,2.75461677816144,3.79318732658679,-0.0604547698198259,0.909981935325072,1.87311872910824,2.85503709486628,3.81759959157665,-0.726947339696691,0.209912411261572,1.20928176059635,2.1978275827717,3.19201153866087,-1.116841392276,-0.12321780663253,0.874139884158945,1.88605101514392,2.88028544192148,0.25733770835396,1.37333187274937,2.50531075890258,3.6708843673736,4.82466022264777,-1.23742720610704,0.00411077582628611,1.24488681435136,2.47509412501191,3.69614711543334,0.154001316160303,1.37249968540491,2.58449902889007,3.80270213860215,5.03563121002774
1877,0.711623629252873,1.70768496975741,2.74159084465402,3.81654321369593,4.90616424915736,-0.704866210882554,0.312233240110731,1.33327231597735,2.33539231717767,3.28140866221776,-1.32807345439864,-0.29406426396449,0.779863215029561,1.90143125313196,2.97197154062157,-1.52853110031443,-0.448541696349548,0.661623867770333,1.80215031387223,2.91702082186129,-0.744855244271894,0.258061799615521,1.27760126880989,2.27895264315301,3.24973477115412,-0.263923597247581,0.800667615965826,1.88845705465956,3.0019917135457,4.10479635565479,0.670707937022521,1.77812777151187,2.95351436121531,4.12964472693643,5.26143956151548,-0.494770710685107,0.578667044345323,1.65276844182135,2.70007432948723,3.65927083717196,-0.372413862345817,0.659046527109975,1.75772576992934,2.8359779954174,3.84830084876316,-0.904625439721649,0.198239130746342,1.2791558693508,2.35742156158854,3.37435806782654,-1.63479535137276,-0.500681790331772,0.674013283879674,1.82845492073439,2.96494013000034,-0.19632186149192,0.776720065747598,1.74131458839035,2.70494168512461,3.73058573027462,0.0486330769261227,0.981103087581096,1.94125660841626,2.91016557916618,3.8513530826392,-0.671300281059359,0.256112211943339,1.2330561510731,2.21244182344933,3.19075375015181,-1.03792002958493,-0.0665981041885766,0.926688283062074,1.91769950578763,2.89710376662286,0.208381248655475,1.314375890197,2.41557905993608,3.55446060066624,4.69271425411291,-1.17259870350141,0.0532642127433575,1.28247767460027,2.50470902185317,3.71324831576104,0.191650499327332,1.37553313522309,2.57069493192528,3.75955023306108,4.95909925593801
1878,0.947705191094739,1.88519042339455,2.89541345589176,3.90845048214366,4.93785864437171,-0.523099387880922,0.461956661882223,1.46439648313293,2.43377218829225,3.33786881306609,-1.2099587765157,-0.234000134127004,0.825290150673097,1.93113471179298,2.97470799391754,-1.45188710885458,-0.398029489305089,0.705017611017866,1.81983590939114,2.92192249311851,-0.590532164682968,0.390884090200492,1.38444875977445,2.36596747210164,3.31779652893567,-0.161964942373988,0.86863089239323,1.92012755407358,3.01796198762524,4.06593194663483,0.936049401549889,2.02071266807224,3.16849856232443,4.32494539922365,5.43293265665232,-0.285913639921256,0.772549960567682,1.83089017980329,2.85883113290028,3.81619723083987,-0.207306407651636,0.78013025980928,1.85786186507071,2.91784850384789,3.93213824466707,-0.64601794373128,0.420266730105722,1.48494786075116,2.54982033059252,3.55237081836413,-1.44317328027487,-0.343868447294739,0.806793745157845,1.9440919315279,3.06010096652132,0.00955569795708777,0.920721199266752,1.86703727547528,2.82858922997874,3.82927751498476,0.249054428452167,1.15692516240726,2.09198660195343,3.04634444912562,3.96001313726186,-0.38878242138826,0.506884297607296,1.46510549350537,2.43563964658589,3.41620772410265,-0.85080804445598,0.0770114731874909,1.05137088983977,2.0422410439097,3.02422731847878,0.218120648767061,1.29860779725943,2.37352924563813,3.48206040001341,4.56627260780527,-0.898124451986137,0.267123735418287,1.46944537070933,2.68552026363223,3.88821328927605,0.247403631961939,1.43150546717808,2.6180113424015,3.77691030231089,4.91943524104943
