Year,r* 2.5 percentile,r* 16 percentile,r* median,r* 84 percentile,r* 97.5 percentile
1870,-0.0392125623,0.733589497,1.52402729,2.31006193,3.07162513
1871,0.174555655,0.950191436,1.74520341,2.55279583,3.33126274
1872,0.669738773,1.47759556,2.32551114,3.18752992,4.03317187
1873,0.794438064,1.68682076,2.63043496,3.58998142,4.56992032
1874,0.556489562,1.51295505,2.51959133,3.53613476,4.55254248
1875,0.68240355,1.64965111,2.68813421,3.70432358,4.72384579
1876,0.747063533,1.75559322,2.81180717,3.91186293,5.02897468
1877,0.711623629,1.70768497,2.74159084,3.81654321,4.90616425
1878,0.947705191,1.88519042,2.89541346,3.90845048,4.93785864
1879,0.83781946,1.76252304,2.76407648,3.76915941,4.76906682
1880,0.618331327,1.51624316,2.47986251,3.43921404,4.3651827
1881,0.82288438,1.70265261,2.62608447,3.53088061,4.41206699
1882,0.832633297,1.67867192,2.56814788,3.44712371,4.30702398
1883,0.704182591,1.53822771,2.42071427,3.29520842,4.1728401
1884,0.540961103,1.37498335,2.26880336,3.15894959,4.06162769
1885,0.434339544,1.25784961,2.11339188,2.97156917,3.79567246
1886,0.574388562,1.37724067,2.23159716,3.08552672,3.91642621
1887,0.487092151,1.29494736,2.14814319,3.00566837,3.83345333
1888,0.338497686,1.14128608,1.99614443,2.85018755,3.67869164
1889,0.365695503,1.1788567,2.0335144,2.87695709,3.68836843
1890,0.514338553,1.31895511,2.17390603,3.02016608,3.84384533
1891,0.193613207,0.989396426,1.82460057,2.64626965,3.43839117
1892,-0.565423932,0.266874589,1.12466198,1.98349645,2.81074266
1893,-1.12576578,-0.232632093,0.688320059,1.59814166,2.44739192
1894,-1.41896082,-0.511637893,0.436505169,1.36458614,2.24004718
1895,-1.20583049,-0.333450131,0.565671641,1.45680613,2.3038408
1896,-1.093293,-0.240393647,0.646029299,1.52285768,2.36385932
1897,-1.5559983,-0.642309104,0.302993185,1.2294675,2.10746667
1898,-1.62347669,-0.68910701,0.26173559,1.20281432,2.08989636
1899,-1.009459,-0.139276728,0.743883643,1.62530941,2.46720089
1900,-0.916627542,-0.0675686019,0.79621268,1.65937686,2.47343599
1901,-0.8577797,-0.0307516465,0.809146917,1.64381414,2.44476169
1902,-1.02553366,-0.215410539,0.609201078,1.41213147,2.1995363
1903,-0.749926684,0.0335306511,0.82813526,1.61427289,2.36730728
1904,-0.207149098,0.57003219,1.35044336,2.12159071,2.87204731
1905,0.000732449122,0.78367394,1.57180207,2.36422521,3.13666448
1906,0.29372095,1.09781787,1.92425638,2.75271576,3.57428838
1907,0.286714792,1.11300128,1.96697433,2.81404228,3.6586607
1908,0.0897976608,0.856792522,1.65595373,2.44899073,3.25784275
1909,-0.0640466731,0.699254637,1.48468198,2.26737136,3.04256028
1910,-0.177594954,0.594711267,1.39754707,2.19875911,2.97419061
1911,-0.271770047,0.506790557,1.31539632,2.11053234,2.90527471
1912,0.0605639854,0.84478134,1.64817546,2.45608062,3.24659592
1913,0.268513989,1.07079549,1.86740376,2.66642479,3.45794948
1914,0.227533719,1.02233066,1.82453589,2.63077879,3.43900248
1915,0.201060723,1.00013613,1.82203184,2.65724971,3.46860256
1916,0.176444405,1.00051708,1.8260014,2.64323028,3.44419378
1917,-0.0593172718,0.795261274,1.65148707,2.48681021,3.32429514
1918,0.095103022,0.957804856,1.83417934,2.70922738,3.55490238
1919,0.243501493,1.10361405,1.97580592,2.8548818,3.72430561
1920,0.193108732,1.06755554,1.96925328,2.88360559,3.82076194
1921,0.119214584,1.03766052,1.99179647,2.94749804,3.92997954
1922,0.181559647,1.091577,2.01794991,2.95911084,3.88286337
1923,0.374709242,1.28986878,2.22397601,3.1677825,4.09952247
1924,0.270431407,1.22013307,2.18107923,3.13745036,4.09770091
1925,0.235475519,1.15228852,2.08416017,3.01178262,3.92763346
1926,0.303922541,1.18224276,2.09108875,3.01245989,3.91729588
1927,0.212332154,1.0879189,1.98042949,2.86065383,3.72100187
1928,0.360626696,1.22775096,2.09456554,2.95071422,3.78157783
1929,0.64380671,1.51895828,2.40519941,3.29017593,4.15336114
1930,0.26274641,1.11621778,1.98652822,2.84848594,3.67707759
1931,0.460668729,1.32657414,2.22156014,3.11932693,4.01167025
1932,0.395898139,1.26464271,2.14816792,3.01947311,3.85791825
1933,0.0909906817,0.9186359,1.77236975,2.62233265,3.43934629
1934,-0.161897435,0.663689044,1.50510818,2.35169984,3.14809565
1935,-0.52615009,0.323097881,1.1824199,2.03956391,2.85280447
1936,-0.537794903,0.302915619,1.16340256,2.03342516,2.87069649
1937,-0.667432085,0.198412591,1.09229784,1.99614833,2.86416164
1938,-0.643831748,0.212931014,1.10553014,2.0111387,2.88820503
1939,-0.6743707,0.18221252,1.07846965,1.98384865,2.87337073
1940,-0.90790618,-0.0119700338,0.89120856,1.7960977,2.68816373
1941,-1.15391982,-0.240863359,0.677626672,1.58352236,2.48782771
1942,-1.21787425,-0.298941853,0.619141452,1.5419491,2.44887354
1943,-1.27611619,-0.352902215,0.591683419,1.54790378,2.48240072
1944,-1.19008733,-0.266949579,0.677092631,1.62909822,2.54485546
1945,-1.20692897,-0.264585233,0.704295315,1.66657849,2.59573451
1946,-1.31299757,-0.348336656,0.629695932,1.61286427,2.54857572
1947,-1.39676184,-0.419982489,0.587348926,1.58932911,2.55549089
1948,-1.20434547,-0.240905406,0.756303502,1.75843469,2.75776326
1949,-1.18495547,-0.26923718,0.67732015,1.63344184,2.57995931
1950,-1.21020299,-0.282801009,0.684295638,1.6483256,2.64086105
1951,-1.34293193,-0.459904234,0.462915248,1.37767684,2.28371328
1952,-1.13757274,-0.257792545,0.645819605,1.53961467,2.44432674
1953,-0.935153534,-0.0553976361,0.844370319,1.73387349,2.61548082
1954,-0.974928551,-0.0707181388,0.860299913,1.78235651,2.70437758
1955,-0.745142364,0.199296896,1.14655012,2.08670803,3.0171884
1956,-0.577579413,0.411243152,1.40201462,2.37370816,3.38739292
1957,-0.60540143,0.426217484,1.44621562,2.45442603,3.50028953
1958,-0.923646308,0.106008964,1.11247991,2.1172694,3.1566747
1959,-0.882483362,0.145116314,1.1385432,2.14357952,3.17518081
1960,-0.862828977,0.165927592,1.14077174,2.134261,3.15501492
1961,-1.24296192,-0.0964623178,0.977103177,2.03878216,3.12960407
1962,-0.832522978,0.0441617218,0.919039309,1.80320879,2.68643785
1963,-0.865459573,-0.0224341543,0.822804747,1.68165489,2.54306254
1964,-0.752465455,0.122230927,0.991593325,1.87146707,2.75309498
1965,-0.457240263,0.389813021,1.25148167,2.11452648,2.97194375
1966,-0.339226608,0.5285351,1.40734475,2.28263464,3.15519285
1967,-0.479613777,0.386955529,1.25653119,2.12735663,2.99934826
1968,-0.220719373,0.623807048,1.50309393,2.36115651,3.20624092
1969,-3.66254201e-05,0.895809238,1.81493556,2.71125937,3.5927449
1970,0.106714395,1.00359194,1.90483022,2.78959766,3.65949137
1971,-0.265772395,0.618510126,1.51262659,2.40664185,3.27560477
1972,-0.429100983,0.510602129,1.45674982,2.39382452,3.32087604
1973,0.31688292,1.2856715,2.27645779,3.27187573,4.22858232
1974,0.901659705,1.94807873,3.04503163,4.14497066,5.19930214
1975,0.355189302,1.39750027,2.4549673,3.51694757,4.52073753
1976,0.325119657,1.38560197,2.44547769,3.49557298,4.4913334
1977,0.640089454,1.71857621,2.76428757,3.79778411,4.78504191
1978,0.75443453,1.95505327,3.10689914,4.23565999,5.34837191
1979,0.526081524,1.76524308,2.94227513,4.10409494,5.22923095
1980,1.451392,2.64572593,3.82015712,4.98226364,6.10008611
1981,1.49422076,2.74523145,3.95256529,5.15496077,6.31399264
1982,1.22671679,2.52252162,3.79617926,5.05015785,6.26469635
1983,0.551667211,1.70247962,2.85237503,3.96076791,5.02661719
1984,0.221953857,1.38165292,2.53408853,3.64694083,4.72525968
1985,0.0810145591,1.19316535,2.28062615,3.34876429,4.39261668
1986,-0.124522338,0.947729524,2.01427489,3.07005663,4.09436512
1987,-0.0839009355,1.0105676,2.07537435,3.14448307,4.17295447
1988,-0.103584795,0.945784333,1.98164933,3.0242188,4.06164689
1989,0.145978051,1.23764472,2.35136826,3.50191452,4.6491559
1990,0.374716479,1.45012082,2.53276766,3.64867057,4.74869849
1991,-0.0591168498,0.946366799,1.96109517,2.9683555,3.95716861
1992,-0.591671138,0.427930696,1.43434691,2.43740679,3.38680493
1993,-1.05384823,-0.0978008266,0.858933181,1.79015536,2.70843123
1994,-1.06319104,-0.158205927,0.745073227,1.63855048,2.51448532
1995,-1.05286793,-0.137028672,0.785910042,1.69929109,2.59912195
1996,-0.855592392,0.0186474846,0.901161302,1.78618436,2.63159217
1997,-0.686015194,0.176780879,1.03428716,1.89048226,2.7184293
1998,-0.594939911,0.269210573,1.1302009,1.98473061,2.80876423
1999,-0.782720194,0.0847848112,0.953918793,1.80495556,2.64938092
2000,-0.682026776,0.195634076,1.05705018,1.9204275,2.75824656
2001,-0.988290738,-0.124496434,0.734299898,1.58167141,2.42754272
2002,-1.35188572,-0.472279349,0.385981378,1.23357256,2.06606061
2003,-1.62741703,-0.776188706,0.0611221635,0.898951201,1.72861515
2004,-1.64237259,-0.801046463,0.0415930997,0.874993446,1.70414791
2005,-1.4063271,-0.574095304,0.266014966,1.09596183,1.91887509
2006,-1.14893338,-0.301365219,0.549342697,1.38166278,2.21339711
2007,-0.910156918,-0.0480332252,0.813303768,1.66710468,2.51384393
2008,-1.15476134,-0.30157639,0.548601512,1.38360432,2.2228532
2009,-2.12548411,-1.26788426,-0.377742122,0.488462445,1.35241776
2010,-2.49323731,-1.6141809,-0.701788945,0.194039447,1.09995809
2011,-3.49136186,-2.48361479,-1.43451585,-0.393899414,0.613954738
2012,-3.77154841,-2.79816026,-1.78100757,-0.762742408,0.246700189
2013,-3.08838127,-2.20007979,-1.28402896,-0.365102158,0.534894346
2014,-2.70046953,-1.82667567,-0.937167093,-0.0479386438,0.819947312
2015,-2.62210229,-1.75089588,-0.869008116,0.00742386574,0.864984051
2016,-2.8371927,-1.95320828,-1.0642599,-0.165661939,0.708371435
2017,-2.679998,-1.80090081,-0.908366274,-0.0135965263,0.864282975
2018,-2.43578165,-1.56490252,-0.670141075,0.22143552,1.09946583
2019,-2.48960654,-1.59414717,-0.690777806,0.218106308,1.10460383
2020,-2.80217739,-1.89616901,-0.981906508,-0.0596060509,0.84062895
2021,-2.81842234,-1.90665227,-0.979140665,-0.0525158166,0.85881459
2022,-2.36407043,-1.45591856,-0.526107376,0.4014539,1.30356671
2023,-1.52180574,-0.592161328,0.36295795,1.30021886,2.22320417
2024,-1.32308468,-0.370794749,0.594152172,1.54861437,2.46738651
2025,-1.5154073,-0.57179205,0.384421741,1.34046014,2.25862968
